,Unnamed: 0.1,Unnamed: 0,part_id,hh_id,part_age,part_gender,cont_id,cnt_age_est_min,cnt_age_est_max,cnt_gender,phys_contact,duration_multi,hh_size,sday_id,dayofweek,day,month,year,cnt_age_distances,cnt_age_exact,degree
26431,26431,147944,E15_505110,HHE15_505110,7.0,F,E15_505110001,35.0,39.0,M,1.0,5.0,3.0,2021-02-22,1,22,2,21,4.0,39.0,2
26432,26432,147945,E15_505110,HHE15_505110,7.0,F,E15_505110002,35.0,44.0,F,1.0,5.0,3.0,2021-02-22,1,22,2,21,9.0,39.0,2
26433,26433,147946,E15_505111,HHE15_505111,65.0,M,E15_505111001,35.0,44.0,M,2.0,3.0,1.0,2021-02-22,1,22,2,21,9.0,35.0,43
26434,26434,147947,E15_505111,HHE15_505111,65.0,M,E15_505111002,55.0,64.0,M,2.0,1.0,1.0,2021-02-22,1,22,2,21,9.0,63.0,43
26435,26435,147948,E15_505111,HHE15_505111,65.0,M,E15_505111003,0.0,17.0,,2.0,,1.0,2021-02-22,1,22,2,21,17.0,10.0,43
26436,26436,147949,E15_505111,HHE15_505111,65.0,M,E15_505111004,0.0,17.0,,2.0,,1.0,2021-02-22,1,22,2,21,17.0,16.0,43
26437,26437,147950,E15_505111,HHE15_505111,65.0,M,E15_505111005,0.0,17.0,,2.0,,1.0,2021-02-22,1,22,2,21,17.0,12.0,43
26438,26438,147951,E15_505111,HHE15_505111,65.0,M,E15_505111006,0.0,17.0,,2.0,,1.0,2021-02-22,1,22,2,21,17.0,15.0,43
26439,26439,147952,E15_505111,HHE15_505111,65.0,M,E15_505111007,0.0,17.0,,2.0,,1.0,2021-02-22,1,22,2,21,17.0,9.0,43
26440,26440,147953,E15_505111,HHE15_505111,65.0,M,E15_505111008,0.0,17.0,,2.0,,1.0,2021-02-22,1,22,2,21,17.0,1.0,43
26441,26441,147954,E15_505111,HHE15_505111,65.0,M,E15_505111009,0.0,17.0,,2.0,,1.0,2021-02-22,1,22,2,21,17.0,4.0,43
26442,26442,147955,E15_505111,HHE15_505111,65.0,M,E15_505111010,0.0,17.0,,2.0,,1.0,2021-02-22,1,22,2,21,17.0,10.0,43
26443,26443,147956,E15_505111,HHE15_505111,65.0,M,E15_505111011,0.0,17.0,,2.0,,1.0,2021-02-22,1,22,2,21,17.0,12.0,43
26444,26444,147957,E15_505111,HHE15_505111,65.0,M,E15_505111012,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,18.0,43
26445,26445,147958,E15_505111,HHE15_505111,65.0,M,E15_505111013,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,65.0,43
26446,26446,147959,E15_505111,HHE15_505111,65.0,M,E15_505111014,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,49.0,43
26447,26447,147960,E15_505111,HHE15_505111,65.0,M,E15_505111015,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,65.0,43
26448,26448,147961,E15_505111,HHE15_505111,65.0,M,E15_505111016,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,48.0,43
26449,26449,147962,E15_505111,HHE15_505111,65.0,M,E15_505111017,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,61.0,43
26450,26450,147963,E15_505111,HHE15_505111,65.0,M,E15_505111018,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,63.0,43
26451,26451,147964,E15_505111,HHE15_505111,65.0,M,E15_505111019,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,23.0,43
26452,26452,147965,E15_505111,HHE15_505111,65.0,M,E15_505111020,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,45.0,43
26453,26453,147966,E15_505111,HHE15_505111,65.0,M,E15_505111021,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,53.0,43
26454,26454,147967,E15_505111,HHE15_505111,65.0,M,E15_505111022,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,41.0,43
26455,26455,147968,E15_505111,HHE15_505111,65.0,M,E15_505111023,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,69.0,43
26456,26456,147969,E15_505111,HHE15_505111,65.0,M,E15_505111024,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,67.0,43
26457,26457,147970,E15_505111,HHE15_505111,65.0,M,E15_505111025,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,43.0,43
26458,26458,147971,E15_505111,HHE15_505111,65.0,M,E15_505111026,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,49.0,43
26459,26459,147972,E15_505111,HHE15_505111,65.0,M,E15_505111027,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,60.0,43
26460,26460,147973,E15_505111,HHE15_505111,65.0,M,E15_505111028,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,25.0,43
26461,26461,147974,E15_505111,HHE15_505111,65.0,M,E15_505111029,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,21.0,43
26462,26462,147975,E15_505111,HHE15_505111,65.0,M,E15_505111030,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,59.0,43
26463,26463,147976,E15_505111,HHE15_505111,65.0,M,E15_505111031,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,61.0,43
26464,26464,147977,E15_505111,HHE15_505111,65.0,M,E15_505111032,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,64.0,43
26465,26465,147978,E15_505111,HHE15_505111,65.0,M,E15_505111033,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,45.0,43
26466,26466,147979,E15_505111,HHE15_505111,65.0,M,E15_505111034,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,56.0,43
26467,26467,147980,E15_505111,HHE15_505111,65.0,M,E15_505111035,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,68.0,43
26468,26468,147981,E15_505111,HHE15_505111,65.0,M,E15_505111036,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,38.0,43
26469,26469,147982,E15_505111,HHE15_505111,65.0,M,E15_505111037,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,33.0,43
26470,26470,147983,E15_505111,HHE15_505111,65.0,M,E15_505111038,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,20.0,43
26471,26471,147984,E15_505111,HHE15_505111,65.0,M,E15_505111039,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,28.0,43
26472,26472,147985,E15_505111,HHE15_505111,65.0,M,E15_505111040,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,64.0,43
26473,26473,147986,E15_505111,HHE15_505111,65.0,M,E15_505111041,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,52.0,43
26474,26474,147987,E15_505111,HHE15_505111,65.0,M,E15_505111042,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,59.0,43
26475,26475,147988,E15_505111,HHE15_505111,65.0,M,E15_505111043,18.0,64.0,,2.0,,1.0,2021-02-22,1,22,2,21,46.0,46.0,43
26476,26476,147989,E15_505113,HHE15_505113,21.0,M,E15_505113001,,,,2.0,5.0,4.0,2021-02-19,5,19,2,21,,4.0,2
26477,26477,147990,E15_505113,HHE15_505113,21.0,M,E15_505113002,,,,2.0,5.0,4.0,2021-02-19,5,19,2,21,,2.0,2
26478,26478,147991,E15_505114,HHE15_505114,35.0,F,E15_505114001,35.0,44.0,M,2.0,1.0,1.0,2021-02-23,2,23,2,21,9.0,43.0,9
26479,26479,147992,E15_505114,HHE15_505114,35.0,F,E15_505114002,25.0,34.0,F,2.0,1.0,1.0,2021-02-23,2,23,2,21,9.0,33.0,9
26480,26480,147993,E15_505114,HHE15_505114,35.0,F,E15_505114003,45.0,54.0,M,2.0,1.0,1.0,2021-02-23,2,23,2,21,9.0,46.0,9
